crashid,date,hour,day,city_section,highwayid,milepost,lat,lon,road_type,road_desc,street_name,isect_num,lane_quantity,crash_severity,volume,speed,weather1,weather2,precip,temp,wind,cloud,visibility,road_cond,light_cond
1673134,2016-07-16,16:00:00,SATURDAY,Portland N,1,305,45.572872,-122.678744,MN,STRGHT,PACIFIC HY I-5,9420,6,INJ,1137.00,52.50,Mostly Cloudy,CLR,0,72.69,4.03,0.75,9,DRY,DAY
1673208,2016-07-14,10:00:00,THURSDAY,Portland SW,1,299.5,45.500286,-122.673706,MN,STRGHT,SB EF MARQUAM BR,9496,2,INJ,1260.00,43.33,Clear,CLR,0,64.05,2.47,0.16,9,DRY,DAY
1673848,2016-07-23,10:00:00,SATURDAY,Portland Bridges,1,300.5,45.507753,-122.669481,MN,BRIDGE,MARQUAM BRIDGE,9452,3,INJ,229.00,60.33,Overcast,CLR,0,64.77,1.28,1,9,DRY,DAY
1674124,2016-07-29,15:00:00,FRIDAY,Portland N,1,307,45.597258,-122.684622,MN,STRGHT,PACIFIC HY I-5,609,6,INJ,480.00,8.00,Clear,CLR,0,88.89,3.28,0,9,DRY,DAY
1674228,2016-08-01,19:00:00,MONDAY,Portland N,1,308,45.611125,-122.678417,CN,CURVE,NB EF JANTZN BCH C2,322,2,INJ,963.00,26.67,Clear,CLR,0,75.92,6.03,0,9,DRY,DAY
1674304,2016-08-01,15:00:00,MONDAY,Portland N,1,304,45.556075,-122.678708,MN,STRGHT,PACIFIC HY I-5,9425,6,INJ,517.00,9.00,Clear,CLR,0,75.22,3.08,0,9,DRY,DAY
1674353,2016-08-01,22:00:00,MONDAY,Portland SE,1,301.5,45.520281,-122.666078,MN,STRGHT,PACIFIC HY I-5,9439,6,INJ,269.00,55.50,Clear,CLR,0,66.22,6.93,0,9,DRY,DLIT
1674479,2016-07-28,19:00:00,THURSDAY,Portland NE,1,302.5,45.534142,-122.666292,MN,CURVE,PACIFIC HY I-5,9435,6,INJ,1031.00,52.50,Clear,CLR,0,89.64,4.04,0,9,DRY,DAY
1674729,2016-08-04,19:00:00,THURSDAY,Portland NE,1,302,45.531369,-122.665347,MN,STRGHT,PACIFIC HY I-5,9435,6,INJ,861.00,47.50,Clear,CLR,0,84.95,4.43,0,9,DRY,DAY
1674843,2016-08-10,17:00:00,WEDNESDAY,Portland Bridges,1,300.5,45.507003,-122.670775,MN,INTER,MARQUAM BRIDGE,9452,,INJ,263.00,56.33,Clear,CLR,0,76.11,6.93,0.21,9,DRY,DAY
1674861,2016-08-10,00:00:00,WEDNESDAY,Portland NE,1,302.5,45.534369,-122.665719,CN,INTER,NE WEIDLER ST,9434,,INJ,269.00,57.00,Clear,CLR,0,62.26,0.41,0.24,9,DRY,DAY
1675034,2016-08-02,07:00:00,TUESDAY,Portland N,1,307.5,45.607044,-122.6819,MN,STRGHT,PACIFIC HY I-5,9902,7,INJ,687.00,60.33,Overcast,CLD,0,60.63,0.91,0.88,9,DRY,DAY
